"siteIDScheme","WBCategory","determinandC","analysed","media","NSamples","minValue","meanValue","maxValue","sd","method"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",2,0.0045,0.0053,0.006,0.0011,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",3,6.125,6.7333,7.125,0.534,"EN 25813:1992"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",3,8.35,8.725,9.05,0.352,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,7.42,8.742,10.064,1.869,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,47,67.214,87.428,28.587,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,9,9.083,9.166,0.117,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",5,6.95,8.6078,10.3,1.3652,"EN 25813:1992"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",2,0.006,0.006,0.007,0,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",6,4.42,7.586,9.566,1.806,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","GW","EEA_3132-01-2","total","water",2,3.73,3.815,3.9,0.120208152801713,"EN 25813:1992"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",7,0.017,0.03,0.055,0.012,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",4,0.008,0.0088,0.01,8e-04,"SFS 3026"
"eionetMonitoringSiteCode","RW","EEA_3131-01-9","total","water",4,89,91.75,95,2.5,"EN 25813:1992"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,5.8,7.475,9.15,2.368,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",2,0.005,0.007,0.01,0.00335,"SFS 3026"
"euMonitoringSiteCode","RW","EEA_3131-01-9","total","water",4,88,93.25,99,4.7871,"EN 25813:1992"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,74,74.263,74.526,0.372,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",4,6.3667,6.825,8,0.7852,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",4,0.014,0.023,0.04,0.011,"SFS 3026"
"euMonitoringSiteCode","GW","EEA_3132-01-2","total","water",2,4.07,5.435,6.8,1.93,"EN 25813:1992"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,69.3333,77.3333,85.3333,11.3137,"EN 25813:1992"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",2,0.00644,0.009016,0.011592,0.002,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",4,79,89.875,97.5,7.792,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,66,77.5,89,16.263,"SFS 3040"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",4,0.082,0.093,0.109,0.012,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",3,8.325,8.905,9.325,0.519,"SFS 3040 SFS-EN 25813"
